PIPE , PRES , REAL , 1
PIPE , TPRESS , REAL , 1
PIPE , PSPE , REFERENCE , 1
PIPE , ISPE , REFERENCE , 1
PIPE , TSPE , REFERENCE , 1
PIPE , MATR , REFERENCE , 1
PIPE , FLUR , REFERENCE , 1
PIPE , CASR , REFERENCE , 1
PIPE , CCEN , INTEGER , 1
PIPE , CCLA , INTEGER , 1
PIPE , LNTP , WORD , 1
PIPE , EREC , INTEGER , 1
PIPE , REV , INTEGER , 1
PIPE , SAFC , INTEGER , 1
PIPE , DUTY , TEXT , 120
PIPE , DSCO , TEXT , 120
PIPE , PTSP , TEXT , 120
PIPE , INSC , TEXT , 120
PIPE , SKEY , TEXT , 4
PIPE , LISS , LOGICAL , 1
PIPE , WMAX , INTEGER , 1
PIPE , PMAX , INTEGER , 1
PIPE , SMAX , INTEGER , 1
PIPE , JMAX , INTEGER , 1
PIPE , DRRF , REFERENCE , 1
PIPE , CDRG , TEXT , 24
PIPE , CNUM , TEXT , 22
PIPE , CARE , TEXT , 12
PIPE , SPLP , TEXT , 120
PIPE , ORRF , REFERENCE , 1
PIPE , BENDMACREFERENCE , REFERENCE , 1
PIPE , UUIDIA , INTEGER , 4
PIPE , RREF , REFERENCE , 500
PIPE , RATM , WORD , 500
PIPE , RATS , WORD , 500
PIPE , RLSTOR , TEXT , 500
PIPE , DELDSG , WORD , 1
PIPE , FAREA , TEXT , 5
PIPE , FPLINE , TEXT , 32
PIPE , FDRA , TEXT , 32
PIPE , FREV , TEXT , 4
PIPE , FRDR , TEXT , 32
PIPE , FSTAT , TEXT , 15
PIPE , PLANU , TEXT , 1000
PIPE , JNTC , INTEGER , 1
PIPE , WLDC , INTEGER , 1
PIPE , HEATT , INTEGER , 1
PIPE , MDSYSF , REFERENCE , 10
PIPE , INPRTR , REFERENCE , 1
PIPE , OUPRTR , REFERENCE , 1
PIPE , SLOREF , REFERENCE , 1
PIPE , UDATAB , INTEGER , 1000
PIPE , UDAFTB , REFERENCE , 1000
PIPE , UDASTB , TEXT , 1000
PIPE , NOHUMA , LOGICAL , 1
PIPE , :PsiSystem , REFERENCE , 120
PIPE , :PsiDate , TEXT , 30
PIPE , :MDSComment , TEXT , 120
BRAN , CACHID , INTEGER , 1
BRAN , UDTYPE , INTEGER , 1
BRAN , TYPEX , INTEGER , 1
BRAN , NAME , TEXT , 500
BRAN , DESC , TEXT , 120
BRAN , FUNC , TEXT , 120
BRAN , PURP , WORD , 1
BRAN , BUIL , LOGICAL , 1
BRAN , SHOP , LOGICAL , 1
BRAN , ISOHIDDEN , LOGICAL , 1
BRAN , HPOS , POSITION , 3
BRAN , TPOS , POSITION , 3
BRAN , HDIR , DIRECTION , 3
BRAN , TDIR , DIRECTION , 3
BRAN , HREF , REFERENCE , 1
BRAN , TREF , REFERENCE , 1
BRAN , LHEA , LOGICAL , 1
BRAN , LTAI , LOGICAL , 1
BRAN , HBOR , REAL , 1
BRAN , TBOR , REAL , 1
BRAN , HCON , WORD , 1
BRAN , TCON , WORD , 1
BRAN , HDSHAP , WORD , 1
BRAN , TDSHAP , WORD , 1
BRAN , HEADW , REAL , 1
BRAN , TAILW , REAL , 1
BRAN , HEADH , REAL , 1
BRAN , TAILH , REAL , 1
BRAN , HZAXI , DIRECTION , 3
BRAN , TZAXI , DIRECTION , 3
BRAN , DETA , LOGICAL , 1
BRAN , LSTR , LOGICAL , 1
BRAN , LNTP , WORD , 1
BRAN , EREC , INTEGER , 1
BRAN , TEMP , REAL , 1
BRAN , PRES , REAL , 1
BRAN , TPRESS , REAL , 1
BRAN , FLOW , WORD , 1
BRAN , HSTU , REFERENCE , 1
BRAN , CCEN , INTEGER , 1
BRAN , CCLA , INTEGER , 1
BRAN , SAFC , INTEGER , 1
BRAN , MATR , REFERENCE , 1
BRAN , FLUR , REFERENCE , 1
BRAN , CASR , REFERENCE , 1
BRAN , PSPE , REFERENCE , 1
BRAN , ISPE , REFERENCE , 1
BRAN , TSPE , REFERENCE , 1
BRAN , SPAM , INTEGER , 1
BRAN , WDATUM , INTEGER , 6
BRAN , SPAM , INTEGER , 1
BRAN , DUTY , TEXT , 120
BRAN , DSCO , TEXT , 120
BRAN , PTSP , TEXT , 120
BRAN , INSC , TEXT , 120
BRAN , SPLH , TEXT , 120
BRAN , HDMT , WORD , 2
BRAN , HDMF , REFERENCE , 2
BRAN , TDMT , WORD , 2
BRAN , TDMF , REFERENCE , 2
BRAN , LISS , LOGICAL , 1
BRAN , WMAX , INTEGER , 1
BRAN , PMAX , INTEGER , 1
BRAN , PTNH , INTEGER , 1
BRAN , SMAX , INTEGER , 1
BRAN , JMAX , INTEGER , 1
BRAN , MTOH , WORD , 1
BRAN , PTNB , INTEGER , 20
BRAN , DRRF , REFERENCE , 1
BRAN , SPSP , TEXT , 2
BRAN , JNUM , INTEGER , 2
BRAN , JOIP , WORD , 2
BRAN , ORRF , REFERENCE , 1
BRAN , BENDMACREFERENCE , REFERENCE , 1
BRAN , UUIDIA , INTEGER , 4
BRAN , RREF , REFERENCE , 500
BRAN , RATM , WORD , 500
BRAN , RATS , WORD , 500
BRAN , INCO , TEXT , 2000
BRAN , PLANU , TEXT , 1000
BRAN , BSTA , INTEGER , 1
BRAN , HWRF , REFERENCE , 1
BRAN , TWRF , REFERENCE , 1
BRAN , BRLO , INTEGER , 1
BRAN , RLSTOR , TEXT , 500
BRAN , TSFBR , LOGICAL , 1
BRAN , DELDSG , WORD , 1
BRAN , MDSYSF , REFERENCE , 10
BRAN , INPRTR , REFERENCE , 1
BRAN , OUPRTR , REFERENCE , 1
BRAN , SLOREF , REFERENCE , 1
BRAN , AEXCES , REAL , 1
BRAN , LEXCES , REAL , 1
BRAN , LOOS , LOGICAL , 1
BRAN , LCHKDA , DATETIME , 2
BRAN , UDATAB , INTEGER , 1000
